username,handle,tweet_text,time
MarketScreener Technical Alerts,@MrktScreener_TA,"The Home Depot, Inc.: The stock is testing its highs. #HomeDepot #MarketScreener https://marketscreener.com//THE-HOME-DEPOT-INC-4826/…",2020-02-14T17:13:41.000Z
Edward Cloutier,@EdwardCloutier3,#homedepot @HomeDepot 868 credit cards for the year!!  #store6357,2020-02-09T21:55:41.000Z
Jeffrey Court HD,@JeffreyCourtHD,"We are breaking the rules and diving right in, to our next challenge. We're kicking off our first-ever Mood Board Challenge March 2nd so don't miss your chance to win BIG! Get all the details now https://soo.nr/w9l6 #moodboardchallenge #homedepot #JeffreyCourtChallenge",2020-02-12T23:01:50.000Z
Jeffrey Court HD,@JeffreyCourtHD,"We are breaking the rules and diving right in, to our next challenge. We're kicking off our first-ever Mood Board Challenge March 2nd so don't miss your chance to win BIG! Get all the details now https://soo.nr/w9l6 #moodboardchallenge #homedepot #JeffreyCourtChallenge",2020-02-12T23:01:50.000Z
MVanauken,@VanaukenMa,Protect your floors from the New England weather with ramboard. Come visit us at Home Depot Londonderry. Nh today....#ramboard#wildweatherdefense#homedepot,2020-02-11T14:54:06.000Z
UNCLE_L,@MagaUncleL,Visit http://HomeDepot.com search “International Concepts” for some amazing #Furniture Happy Shopping! #HomeDepot,2020-02-15T00:45:10.000Z
GottaDEAL,@GottaDEAL,Home Depot Deal of the Day: Save up to 50% on Power Tools from Top Brands #homedepot,2020-02-14T13:42:03.000Z
YourDailyBlab,@YourBlab,"Went fridge shopping. Got nice new one, good price, good service. Thank you #HomeDepot It'll be delivered and the old one taken away on Thursday ",2020-02-15T15:59:23.000Z
sydnee esaias,@squidleeee,Home Depot is the worse place for customer service. Worst experience I have had. #homedepot #homedepotcorporate @HomeDepot,2020-02-15T17:24:20.000Z
Kendra Tycocki,@ilovekydogs,Met up with this little gal today to work on her fear in public places. #homedepot welcomed us in and Jade did great. Her hoomans hard work in the home paid off. Isn't she darling?! #kendrascanines… https://instagram.com/p/B8exy8_pA8j/?igshid=1mtnakd1rgkaq…,2020-02-12T20:52:19.000Z
GottaDEAL,@GottaDEAL,Maytag Front Control Tall Tub Stainless Steel Dishwasher - $477.70 Shipped #homedepot,2020-02-14T05:10:32.000Z
isin,@isin1116,#6583 #homedepot flooring,2020-02-12T02:09:36.000Z
Aaron Cooper,@AaronCoop0643,Great day to teach and learn DBW at store #0643 love the engagement keep it up team #homedepot,2020-02-11T18:18:54.000Z
isin,@isin1116,#6583 #homedepot old pictures,2020-02-10T15:22:42.000Z
isin,@isin1116,#6583 #homedepot flooring,2020-02-12T02:09:36.000Z
Aaron Cooper,@AaronCoop0643,Great day to teach and learn DBW at store #0643 love the engagement keep it up team #homedepot,2020-02-11T18:18:54.000Z
isin,@isin1116,#6583 #homedepot old pictures,2020-02-10T15:22:42.000Z
isin,@isin1116,#6583 #homedepot flooring,2020-02-12T02:09:36.000Z
Darren Ogee,@TuffShedOgee,"It’s a great day for a new #TuffShed, and Esmeralda, Cole, Ruby, and Daniel are ready to help at #HomeDepot 3911 in MidWest City!",2020-02-08T19:36:17.000Z
DannyC,@DannyC_THD,"Even in Home Depot’s Comic Book world, tool chest lay down looking on point. #HomeDepot #4403theBeast",2020-02-08T11:55:19.000Z
𝒥𝒶𝓂𝑒𝓈 𝑀𝒶𝓃𝒹𝒶𝓉𝑜,@JamesMandato,"Thank you to Jimmy, a 21 year associate at the Mohegan Lake Home Depot, for giving everyone a good class today.  I appreciate you!  #homedepot",2020-02-07T13:18:48.000Z
