username,handle,tweet_text,time
Flight Patroller,@FlightPatroller,Attention all Delta Air Lines passengers. Were you on flight DL9458 on 8th February 2020 from Hannover Airport to Amsterdam Airport Schiphol? Dont delay make them pay! #flightdelay #compensation #DeltaAirLines,2020-02-10T15:31:38.000Z
Tickeron,@Tickeron,"$DAL enters an Uptrend as Momentum Indicator exceeded the 0 level on February 10, 2020. View odds for this and other indicators: https://tickeron.com/go/1248036 #DeltaAirLines #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",2020-02-15T12:52:07.000Z
AdeleBW,@adelebw,Why doesn’t #DeltaCEO make economy seat rows wider instead of packing people in like sardines and making it THEIR responsibility to keep #deltaairlines customers comfortable?!,2020-02-15T00:26:04.000Z
Tickeron,@Tickeron,"$DAL enters an Uptrend as Momentum Indicator exceeded the 0 level on February 10, 2020. View odds for this and other indicators: https://tickeron.com/go/1248036 #DeltaAirLines #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",2020-02-15T12:52:07.000Z
"<div aria-label=""🤎"" class=""css-1dbjc4n r-xoduu5 r-1mlwlqe r-1d2f490 r-1udh08x r-u8s1d r-h9hxbl r-417010"" style=""height: 1.2em;""><div class=""css-1dbjc4n r-1niwhzg r-vvn4in r-u6sd8q r-x3cy2q r-1p0dtai r-xoduu5 r-1pi2tsx r-1d2f490 r-u8s1d r-zchlnj r-ipm5af r-13qz1uu r-1wyyakw"" style='background-image: url(""https://abs-0.twimg.com/emoji/v2/svg/1f90e.svg"");'></div><img alt=""🤎"" class=""css-9pa8cd"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/svg/1f90e.svg""/></div>",@_KiaaaBaby,My cousin is having the WORST experience with #DeltaAirlines poor thing. Don’t think I’ll be flying with them,2020-02-14T00:52:48.000Z
Colleen,@CCoady,#deltaairlines I’ve been platinum for years needed you today to be more than mechanical and help me get home after accident and broken leg #dissappointed I was just another reservation today,2020-02-11T06:29:53.000Z
Shalaka Dhotre,@DhotreShalaka,@Delta #deltaairlines I regret to inform you about my pathetic travel experience flying DL 8706  with Delta Airlines on Jan 23  2020 2:05 hrs from Bombay to Montreal via Paris to be back with my family and had worst customer service experience and baggage issues.,2020-02-11T01:30:40.000Z
Tom Hastain,@hasty,#deltaairlines: You can carry one small suitcase and a personal item.People in front of me:,2020-02-09T03:06:05.000Z
Ten Oaks Doodles,@DoodlesTen,"Thank you #DeltaAirlines, got my sheepadoodle puppies delivered to Boston Mass. and delivered me back to MCI airport in K C  great service!",2020-02-09T01:16:03.000Z
Pink Starburst,@SpeakHerSex,Still on my high...I’m gonna stay here for awhile! #EmployeeOfTheMonth #DeltaAirLines #TechOps,2020-02-07T23:13:52.000Z
Japansk Viking,@JapanskViking,Fuck you Delta. Thank you for being the most soulless airline I ever had the mis privilege to fly with.#Delta #deltaair #deltaairlines,2020-02-07T18:18:39.000Z
JCHoneycutt,@jchoneycutt,First class benefits have started already! #delta #deltaairlines. I colunteer to miss more flights for these perks! https://instagram.com/p/B8RjTdLJgLy494n9Dum61Iuc-xB5IL8VZ3tJuo0/?igshid=1wnx6rw9mhdm…,2020-02-07T17:35:32.000Z
"<div aria-label=""🤎"" class=""css-1dbjc4n r-xoduu5 r-1mlwlqe r-1d2f490 r-1udh08x r-u8s1d r-h9hxbl r-417010"" style=""height: 1.2em;""><div class=""css-1dbjc4n r-1niwhzg r-vvn4in r-u6sd8q r-x3cy2q r-1p0dtai r-xoduu5 r-1pi2tsx r-1d2f490 r-u8s1d r-zchlnj r-ipm5af r-13qz1uu r-1wyyakw"" style='background-image: url(""https://abs-0.twimg.com/emoji/v2/svg/1f90e.svg"");'></div><img alt=""🤎"" class=""css-9pa8cd"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/svg/1f90e.svg""/></div>",@_KiaaaBaby,My cousin is having the WORST experience with #DeltaAirlines poor thing. Don’t think I’ll be flying with them,2020-02-14T00:52:48.000Z
Colleen,@CCoady,#deltaairlines I’ve been platinum for years needed you today to be more than mechanical and help me get home after accident and broken leg #dissappointed I was just another reservation today,2020-02-11T06:29:53.000Z
Shalaka Dhotre,@DhotreShalaka,@Delta #deltaairlines I regret to inform you about my pathetic travel experience flying DL 8706  with Delta Airlines on Jan 23  2020 2:05 hrs from Bombay to Montreal via Paris to be back with my family and had worst customer service experience and baggage issues.,2020-02-11T01:30:40.000Z
Tom Hastain,@hasty,#deltaairlines: You can carry one small suitcase and a personal item.People in front of me:,2020-02-09T03:06:05.000Z
Ten Oaks Doodles,@DoodlesTen,"Thank you #DeltaAirlines, got my sheepadoodle puppies delivered to Boston Mass. and delivered me back to MCI airport in K C  great service!",2020-02-09T01:16:03.000Z
Pink Starburst,@SpeakHerSex,Still on my high...I’m gonna stay here for awhile! #EmployeeOfTheMonth #DeltaAirLines #TechOps,2020-02-07T23:13:52.000Z
JCHoneycutt,@jchoneycutt,First class benefits have started already! #delta #deltaairlines. I colunteer to miss more flights for these perks! https://instagram.com/p/B8RjTdLJgLy494n9Dum61Iuc-xB5IL8VZ3tJuo0/?igshid=1wnx6rw9mhdm…,2020-02-07T17:35:32.000Z
Pink Starburst,@SpeakHerSex,Still on my high...I’m gonna stay here for awhile! #EmployeeOfTheMonth #DeltaAirLines #TechOps,2020-02-07T23:13:52.000Z
Japansk Viking,@JapanskViking,Fuck you Delta. Thank you for being the most soulless airline I ever had the mis privilege to fly with.#Delta #deltaair #deltaairlines,2020-02-07T18:18:39.000Z
Direct77,@Direct773,I gather @Delta isn't aware @RepMaxineWaters fought AGAINST multibillionaire company BP oil.Many not aware of BP oil spills that effected black fishermen & black families.Check out Ava DuVernay's acquisition @VanishingPearls that exposed BP oil corruption.#deltaairlines ,2020-02-15T17:41:28.000Z
sakae manning,@sakaetrist,Absurd. #DeltaAirlines,2020-02-15T04:20:19.000Z
"<div aria-label=""☮️"" class=""css-1dbjc4n r-xoduu5 r-1mlwlqe r-1d2f490 r-1udh08x r-u8s1d r-h9hxbl r-417010"" style=""height: 1.2em;""><div class=""css-1dbjc4n r-1niwhzg r-vvn4in r-u6sd8q r-x3cy2q r-1p0dtai r-xoduu5 r-1pi2tsx r-1d2f490 r-u8s1d r-zchlnj r-ipm5af r-13qz1uu r-1wyyakw"" style='background-image: url(""https://abs-0.twimg.com/emoji/v2/svg/262e.svg"");'></div><img alt=""☮️"" class=""css-9pa8cd"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/svg/262e.svg""/></div>",@DestiGrace1,"When did we get to this place and who made the rule? I hate to fly, too much damn drama. But I do like @SouthwestAir (took great care of me after I missed my flight unlike others), and @AlaskaAir is just a dream... Scrap all others #DeltaAirlines #Delta",2020-02-15T03:25:55.000Z
Deidre ディドラ,@JewDontKnow,Oh fuck off @Delta - people are so unhinged these days I would not dare to approach a stranger about something that I paid for! “Permission” pffffttttttttt  #EdBastian #DeltaAirlines,2020-02-14T21:44:44.000Z
Brian,@Brian_S81,"45 minute delay b/c they didn’t put enough gas in the plane. Then got to the runway, had a maintenance issue, and then back to the gate. Still waiting & it’s been almost 2 hours, with our young child & a ton of other children. We will not fly @Delta anymore. #Delta #Deltaairlines",2020-02-14T13:43:53.000Z
Adove,@rpun101,".@Delta WTF, been trying to book flight for hours! It gives me error #6009R!Something to do with billing address! I double triple ... confirmed it! Even tried changing at profile page still this shit! I can’t believe this!#deltaairlines",2020-02-12T05:37:17.000Z
Cengnews.com,@CengNews,Delta Airlines Reveals And Recovers Toddler's Toy Appears Like Her Recruited Army Father Ceng News - #Airport #DeltaAirlines - https://cengnews.com/entertainment/delta-airlines-reveals-and-recovers-toddlers-toy-appears-like-her-recruited-army-father-43077.html…,2020-02-11T20:14:44.000Z
MM,@mainmastshpmgt,Well done #DeltaAirLines crew,2020-02-11T11:23:05.000Z
lisa von drasek,@lvondrasek,I have been assisted from my flight and now in an unattended waiting room. #deltaairlines my flight is boarding and I don’t know what to do,2020-02-10T13:01:29.000Z
Moshe Falik,@FalikMoshe,"Muscular Dystrophy  travelling can be a  , we continue to be  by the @Delta team at ORD.  Menachem wishing Good luck Jessica Osbourne, Former Operations Manager #Skymiles #deltaairlines #customerservice #bestservice #endduchenne #duchennediamond #wheelchairwings",2020-02-10T03:32:48.000Z
"<div aria-label=""⭕️"" class=""css-1dbjc4n r-xoduu5 r-1mlwlqe r-1d2f490 r-1udh08x r-u8s1d r-h9hxbl r-417010"" style=""height: 1.2em;""><div class=""css-1dbjc4n r-1niwhzg r-vvn4in r-u6sd8q r-x3cy2q r-1p0dtai r-xoduu5 r-1pi2tsx r-1d2f490 r-u8s1d r-zchlnj r-ipm5af r-13qz1uu r-1wyyakw"" style='background-image: url(""https://abs-0.twimg.com/emoji/v2/svg/2b55.svg"");'></div><img alt=""⭕️"" class=""css-9pa8cd"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/svg/2b55.svg""/></div>",@MaddieKo92,The person loading it on is also taking their sweet sweet delicious time.  Classic #DeltaAirlines,2020-02-09T18:28:30.000Z
Akeem Hill,@90s_ironAddict,That bucket was provided to you by #DeltaAirlines. Safe travels everyone ,2020-02-08T20:02:11.000Z
samantha from bombay,@Sam_from_Bombay,"Hi @delta he’s made it to Atlanta but we still need to get him to Tucson, Arizona. Where to reach you? He already tried customer service but we are not sure of next steps since the New York flight was so delayed that the connecting flight has already left. #Delta #deltaairlines",2020-02-08T01:20:18.000Z
voodoolady,@frassylassie,@Delta what the hell - flight delayed from Miami to LGA for 3 hours and now the plane is here but we can’t leave because there is no flight attendant. Unacceptable!!! #delta #deltaairlines @united,2020-02-07T22:14:30.000Z
JCHoneycutt,@jchoneycutt,"When you miss your flight home due to weather, have to spend the night in Atlanta, and then Delta upgrades you to first class! Thanks #delta #deltaairlines  - that’s why you’re my favorite… https://instagram.com/p/B8RjAcMJuAJvDBAu78nUCtGrx7BTYzdzWapfZg0/?igshid=efelk1jjkpro…",2020-02-07T17:32:56.000Z
Bruce James,@Bruceanator,Delta Airlines. Never Again. Very rude Gate Agent.  3 hour delay only because this hate agent was an asshole. He needs to be fired. If I tried to tell you all what happened you wouldn’t believe it. If you are interested please DM me. #deltaairlines,2020-02-07T16:18:13.000Z
ChrisPhillipsCreator,@ChrisPhillipsCR,I’m stuck in Boston.  My flight was delayed over 4 hours.  My mom fell and just had surgery.  I need to get home.  No one here is trying to help at all.  The person on the phone told me it wouldn’t be delayed again two delays ago.  #DeltaAirlines,2020-02-07T16:05:52.000Z
Brittany,@BNDConsulting,"@Delta is breaking my heart. The flight boarded early, no one paged myself or 14 others in Sky Club, and it looks like I'll miss my anniversary plans. Not much gets to me, but this really hurts. #DeltaAirlines #WhatHappened",2020-02-07T14:23:01.000Z
Timothy Lin,@timothylin,Beans (mixed in the eggs) before flights? #deltaairlines has a sense of humor,2020-02-07T14:06:46.000Z
Victoria Louise,@victoriallyle,"Don't fly Delta #deltaairlines delayed apx 14 hour & multiple times.  No accommodation or compensation. Now out money for our hotel/car rental, late for events.. No answers. Weather is not an issue.  Forced to check carry-on.  We have nothing. Never again @Delta @DeltaNewsHub",2020-02-07T07:48:20.000Z
